,X,X,X,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,MODE
ACC-GPS,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,
1.0,0.02505365511889251,2.8858484615209995e-05,8.32812134286312e-10,0.02503324908872633,0.025074061149058694,0.25,0.75,1.04101516785789e-10,3.12304550357367e-10,0.0,-2.0,2.0406030166182643e-05,-2.2165118045494325,0.0024787895611201945,6.144397688318446e-06,-2.218264573457235,-2.21475903564163,0.25,0.75,7.680497110398058e-07,2.304149133119417e-06,0.0,-2.0,0.0017527689078025155,-0.2597146177929344,0.0005466007909125521,2.9877242462622747e-07,-0.2601011229187906,-0.2593281126670782,0.25,0.75,3.7346553078278434e-08,1.120396592348353e-07,0.0,-2.0,0.0003865051258561958,2.231816296659902,0.0025250749968210315,6.376003739570732e-06,2.2300307990066455,2.233601794313159,0.25,0.75,7.970004674463415e-07,2.3910014023390244e-06,0.0,-2.0,0.0017854976532567512,1.0
1.0,0.0021123376571813807,4.237158455407816e-06,1.7953511776233955e-11,0.0021093415337046,0.0021153337806581614,0.25,0.75,2.2441889720292444e-12,6.732566916087733e-12,0.0,-2.0,2.996123476780785e-06,0.5470594571727562,0.0006610105496320204,4.3693494672482576e-07,0.5465920521306755,0.5475268622148368,0.25,0.75,5.461686834060322e-08,1.6385060502180967e-07,0.0,-2.0,0.0004674050420806486,-5.134446100133258,0.0,0.0,-5.134446100133258,-5.134446100133258,0.25,0.75,0.0,0.0,0.0,-3.0,0.0,5.163508059725526,7.00305137469734e-05,4.90427285566503e-09,5.163458540674365,5.163557578776686,0.25,0.75,6.130341069581287e-10,1.8391023208743861e-09,-2.6904180184864923e-11,-2.0,4.9519051160462624e-05,1.0
1.0,0.019132910247222593,7.214621153802499e-06,5.20507583928945e-11,0.01912780873968105,0.01913801175476414,0.25,0.75,6.506344799111813e-12,1.9519034397335437e-11,1.0201017940317167e-12,-2.0,5.101507541545661e-06,0.47749400674308173,0.0006610105496320597,4.3693494672487764e-07,0.4770266017010011,0.47796141178516244,0.25,0.75,5.4616868340609706e-08,1.6385060502182912e-07,1.7815113659173699e-13,-2.0,0.00046740504208067635,0.6234495947884783,0.0032796047454753123,1.0755807286544189e-05,0.6211305640333411,0.6257686255436155,0.25,0.75,1.3444759108180236e-06,4.033427732454071e-06,0.0,-2.0,0.0023190307551371747,0.7855298051169728,0.0030045439057856953,9.02728408179396e-06,0.7834052717468191,0.7876543384871266,0.25,0.75,1.128410510224245e-06,3.385231530672735e-06,7.84103801134039e-14,-1.9999999999999998,0.0021245333701537805,0.0
0.0,0.21825042631691602,0.30361227473629077,0.09218041337054492,0.003564127999411693,0.43293672463442034,0.25,0.75,0.011522551671318115,0.03456765501395434,0.0,-2.0,0.21468629831750433,0.3482241923281106,0.17643222161978833,0.031128328825694104,0.22346777200095044,0.4729806126552707,0.25,0.75,0.003891041103211763,0.011673123309635288,-3.350216002898672e-16,-2.0,0.12475642032716013,0.7295561297557709,0.03729853907838698,0.001391181017381961,0.7031820798450921,0.7559301796664498,0.25,0.75,0.0001738976271727451,0.0005216928815182354,6.279263973795453e-15,-1.9999999999999998,0.026374049910678876,0.8733972199600589,0.036680810982059844,0.0013454818943016023,0.8474599697752224,0.8993344701448954,0.25,0.75,0.0001681852367877003,0.0005045557103631009,0.0,-2.0,0.025937250184836502,0.0
1.0,0.02516912733721385,0.0,0.0,0.02516912733721385,0.02516912733721385,0.25,0.75,0.0,0.0,0.0,-3.0,0.0,-1.956167196110494,0.0,0.0,-1.956167196110494,-1.956167196110494,0.25,0.75,0.0,0.0,0.0,-3.0,0.0,-0.1387385133999444,0.0,0.0,-0.1387385133999444,-0.1387385133999444,0.25,0.75,0.0,0.0,0.0,-3.0,0.0,1.9612424529389871,0.0,0.0,1.9612424529389871,1.9612424529389871,0.25,0.75,0.0,0.0,0.0,-3.0,0.0,1.0
1.0,0.01743564678578132,9.963048260012974e-06,9.926233063134756e-11,0.01742860184679538,0.017442691724767267,0.24999999999999994,0.75,1.2407791328918443e-11,3.722337398675534e-11,7.387493995240142e-13,-1.9999999999999998,7.044938985944008e-06,0.47045371829674154,0.0027404395703495717,7.5100090387377454e-06,0.4685159348931154,0.47239150170036764,0.25,0.75,9.387511298422182e-07,2.8162533895266544e-06,-4.297109797189422e-14,-2.0,0.001937783403626131,0.6633884577936189,0.009110013181875895,8.299234017395256e-05,0.6569467056960155,0.6698302098912221,0.25,0.75,1.037404252174407e-05,3.112212756523221e-05,-2.5845135290146916e-14,-2.0,0.006441752097603282,0.8134759496201733,0.005844550565970679,3.415877131818818e-05,0.8093432282819878,0.8176086709583589,0.25,0.75,4.2698464147735225e-06,1.2809539244320568e-05,0.0,-2.0,0.004132721338185541,0.0
0.0,-0.8820168525602936,0.1138546030261091,0.01296287063023289,-0.9625242144293578,-0.8015094906912295,0.25,0.75,0.0016203588287791112,0.004861076486337334,0.0,-2.0,0.08050736186906415,-0.1715942257017233,0.0882161108098942,0.007782082206423531,-0.2339724358653034,-0.10921601553814322,0.25,0.75,0.0009727602758029414,0.0029182808274088243,0.0,-2.0,0.06237821016358008,0.18888810658685423,0.13054488677435439,0.017041967462929006,0.09657893189947821,0.28119728127423027,0.24999999999999994,0.75,0.0021302459328661253,0.006390737798598377,1.378401283906395e-16,-1.9999999999999996,0.09230917468737602,0.9258242176557949,0.09818351650185918,0.009640002912670854,0.856397987336589,0.9952504479750008,0.25,0.75,0.0012050003640838567,0.00361500109225157,0.0,-2.0,0.06942623031920592,1.0
1.0,0.0021376022659585596,3.5615034584645e-05,1.2684306884654595e-09,0.002112418633491564,0.0021627858984255557,0.25,0.75,1.5855383605818244e-10,4.756615081745473e-10,2.5781953386500227e-14,-1.9999999999999998,2.5183632466995896e-05,0.5480040048619609,0.0002065657967600162,4.266942839110032e-08,0.5478579407863107,0.5481500689376111,0.25,0.75,5.33367854888754e-09,1.600103564666262e-08,0.0,-2.0,0.00014606407565020962,-5.134446100133258,0.0,0.0,-5.134446100133258,-5.134446100133258,0.25,0.75,0.0,0.0,0.0,-3.0,0.0,5.163608208955258,2.1937182312824864e-05,4.812399678261161e-10,5.163592697024884,5.1636237208856315,0.25,0.75,6.015499597826451e-11,1.8046498793479353e-10,-8.588663767480238e-11,-2.0,1.5511930373524052e-05,1.0
1.0,0.02484570795434188,7.100103357710396e-06,5.041146769017044e-11,0.02484068742311052,0.024850728485573244,0.25,0.75,6.301433461271305e-12,1.8904300383813916e-11,0.0,-2.0,5.020531231362396e-06,-0.08840691035105712,0.007532766055182054,5.6742564442103e-05,-0.09373338030976819,-0.08308044039234605,0.25,0.75,7.092820555262875e-06,2.1278461665788625e-05,0.0,-2.0,0.005326469958711069,-0.01905075942647505,0.00018220026363751819,3.319693606958113e-08,-0.019179594468427114,-0.018921924384522983,0.25,0.75,4.1496170086976415e-09,1.2448851026092924e-08,4.0418682990614307e-14,-2.0,0.00012883504195206584,0.09380276774313313,0.007134578602884404,5.090221184073597e-05,0.08875785883212513,0.09884767665414114,0.25,0.75,6.362776480091996e-06,1.9088329440275987e-05,0.0,-2.0,0.005044908911008006,1.0
